"","group","sex","drug","mV","c0799A","c0799B","c0818A","c0818C","c0850A","c0850B","c0850C","c0885A","c0885B","c0885C","c0896A","c0896B","c0896C"
"1","ctrl","Female","TTX",-25,18.0053711,14.4958496,28.83911135,29.296875025,41.351318375,18.768310575,18.92089845,26.55029295,34.637451175,28.533935525,87.585449175,50.6591796499999,34.484863275
"2","ctrl","Female","TTX",-30,30.822753875,31.28051758,44.708252,35.095214825,48.3703613275,18.768310525,21.362304675,26.0925293,47.3022461,33.87451174,88.80615235,46.997070275,35.400390625
"3","ctrl","Female","TTX",-35,30.21240235,28.99169921625,33.41674805,31.1279297,44.86083984,19.683837875,21.97265625,37.8417968625,64.3920899,30.21240234,109.71069335,54.016113275,43.487548825
"4","ctrl","Female","TTX",-40,31.73828125,30.9753417975,18.768310525,7.32421875,26.70288086,13.88549805,19.226074235,35.40039062,47.76000975,35.858154295,109.863281255,64.39208985,46.5393066425
"5","ctrl","Female","TTX",-45,29.4494628925,20.29418945375,-0.610351574999981,-23.8037109425,3.662109375,7.0190429725,17.8527832025,32.653808595,33.72192385,24.10888672,88.653564465,46.386718765,31.1279296775
"6","ctrl","Female","TTX",-50,18.7683105475,-2.49999843049409e-09,-13.73291015,-45.928955055,-17.8527832075,0.152587890000007,7.6293945275,23.1933593725,27.16064455,19.836425785,70.64819335,51.26953125,26.7028808575
"7","ctrl","Female","TTX",-55,12.3596191425,-4.8828125,-25.9399414025,-60.2722168025,-34.7900390625,-4.73022461250001,-2.13623047,10.3759765625,6.4086914125,13.2751464875,46.0815429625,32.1960449235,16.63208008
"8","ctrl","Female","TTX",-60,3.8146972625,-23.956298825,-26.2451172,-70.64819335625,-46.38671875,-12.51220703,-9.46044922,1.831054685,-14.6484375,6.103515625,24.4140625,25.48217773625,11.749267575
"9","ctrl","Female","TTX",-65,-4.57763671725,-32.34863281,-27.313232425,-68.5119628925,-48.82812500175,-17.39501953,-18.92089843675,-11.4440917955,-24.5666503875,0.915527343500001,-1.068115235,16.7846679675,-9.0026855475
"10","ctrl","Female","TTX",-70,-15.25878906425,-40.7409667975,-29.90722656,-61.798095705125,-49.89624023625,-19.683837890125,-24.41406250275,-21.0571289075,-37.078857425,-5.798339843125,-20.7519531255,-5.18798828000001,-18.7683105485
"11","ctrl","Female","TTX",-75,-23.4985351605,-39.3676757775,-21.82006835725,-58.898925785,-47.4548339845,-23.193359372875,-34.332275392,-34.1796875025,-36.315917968875,-12.66479492175,-36.0107421895,-22.4304199225,-23.80371093675
