"","group","sex","drug","mV","c0798A","c0798B","c0819A","c0819B","c0851A","c0851B","c0856A","c0856B","c0856C","c0864B","c0884A","c0884B","c0884C"
"1","expt","Female","TTX",-25,47.1496582,37.2314453,32.9589844,44.40307615,54.77905275,15.8691406,49.2858886499999,45.3186035,25.329589825,31.2805176,6.25610352500001,43.18237305,23.345947275
"2","expt","Female","TTX",-30,58.7463379,34.0270996,35.247802725,46.844482425,58.288574225,27.6184082,74.462890625,62.56103515,19.9890137,34.3322753775,14.038085925,56.9152831825,43.640136745
"3","expt","Female","TTX",-35,51.727294925,43.4875488525,35.09521484,48.980712875,57.678222625,21.820068375,79.65087895,59.661865225,26.397705075,35.55297852,23.34594725,73.2421875125,37.8417968725
"4","expt","Female","TTX",-40,57.98339845,37.689209005,25.32958984,38.909912125,67.5964355375,21.2097167975,67.901611325,49.2858887,33.874511725,28.2287597675,21.820068375,65.91796875,36.4685058625
"5","expt","Female","TTX",-45,54.473876975,38.7573242325,13.12255859,33.2641601475,46.8444824375,11.59667969,49.74365235,34.7900390475,38.7573242,14.4958496075,23.1933594,47.9125976575,23.193359375
"6","expt","Female","TTX",-50,38.9099121,25.482177735,6.866455075,24.5666503875,28.3813476575,2.28881836,30.364990275,20.75195313,30.67016605,7.01904296749998,17.08984375,25.787353515,12.51220703
"7","expt","Female","TTX",-55,25.02441405,19.3786621075,-8.544921875,8.5449218775,19.8364257775,-7.93457031,4.425048825,14.1906738275,20.5993652325,-10.681152345,11.749267575,7.1716308625,0.30517578125
"8","expt","Female","TTX",-60,5.950927775,10.5285644575,-21.362304688,-3.967285155,4.8828124975,-7.01904296975,-10.5285644525,-3.814697265,7.6293945325,-19.6838378925,6.25610351499999,-7.6293945325,-8.239746093375
"9","expt","Female","TTX",-65,-13.122558595,0.762939455750001,-27.6184082025,-16.784667971875,-12.66479492325,-18.0053710955,-26.8554687475,-12.359619141,-6.10351562575,-23.9562988275,3.0517578125,-20.4467773455,-22.888183595
"10","expt","Female","TTX",-70,-20.9045410175,-13.88549804775,-35.4003906285,-28.5339355495,-18.7683105485,-25.32958984625,-36.92626953375,-28.839111329125,-13.5803222625,-26.24511719,-2.44140625175,-22.1252441425,-29.7546386675
"11","expt","Female","TTX",-75,-31.127929688875,-23.80371094,-44.860839845,-37.689208986625,-25.9399414075,-29.9072265625,-45.1660156245,-43.3349609375,-23.95629883,-27.160644532,-13.8854980425,-29.9072265645,-34.942626955
