"","group","sex","drug","mV","c0812A","c0822A","c0822B","c0824A","c0824B","c0824C","c0829A","c0829B","c0830A","c0830B","c0861A","c0861B","c0874A","c0879A","c0879B","c0879C","c0880A","c0890A","c0890B"
"1","ctrl","Male","TTX",-25,11.444091775,14.3432617075,20.7519531,55.847167975,31.89086915,16.0217285,27.6184082,25.02441405,58.59375,17.5476074225,38.299560575,9.1552734375,68.969726575,19.226074225,10.9863281,14.64843755,126.03759765,3.81469727499996,40.1306152
"2","ctrl","Male","TTX",-30,10.223388675,18.463134765,34.027099625,80.71899415,32.04345705,17.700195325,39.5202636675,24.414062475,77.514648425,5.187988285,58.8989258,10.22338867,75.531005875,29.60205075,15.4113769625,17.852783175,139.465332025,5.64575197499994,48.2177734475
"3","ctrl","Male","TTX",-35,3.81469719999998,9.1552734375,37.231445325,66.375732425,34.1796875,21.362304725,56.1523437725,27.923584,83.923339875,-15.1062011725,72.4792480725,11.2915039025,76.599121075,35.8581543,16.3269042975,11.138916025,144.6533203,18.0053711,56.610107415
"4","ctrl","Male","TTX",-40,5.49316404999999,-17.39501953,27.46582035,65.612792975,42.572021515,14.6484375,68.3593750075,21.667480475,80.26123045,-32.1960449225,67.291259745,7.78198242250001,64.54467775,21.66748045,16.174316405,26.397705075,153.503417975,9.61303714999997,51.7272949175
"5","ctrl","Male","TTX",-45,-0.915527324999999,-50.048828125,23.3459473,57.8308105475,34.942626975,22.2778320475,48.828125,28.533935525,71.10595705,-37.53662109475,53.8635254075,6.40869140749999,38.604736325,21.9726562499999,14.190673825,21.667480475,135.8032226725,12.207031225,27.160644535
"6","ctrl","Male","TTX",-50,-7.47680664250001,-66.375732424,19.0734863425,34.9426269475,27.00805664,13.427734375,38.2995605475,22.125244125,63.781738275,-36.3159179685,35.5529785175,0.915527342500003,7.17163084999999,22.8881836,12.054443361125,23.956298825,96.1303710925,11.596679675,7.9345703125
"7","ctrl","Male","TTX",-55,-16.47949219,-72.174072267,13.1225585925,16.021728515,21.3623046875,1.3732910175,11.29150391,17.3950195525,48.6755371325,-34.4848632825,17.3950195325,7.17163086,-23.6511230475,27.160644525,9.46044922175,18.3105469,50.3540039125,6.71386715,-22.125244145
"8","ctrl","Male","TTX",-60,-13.427734374375,-77.3620605475,2.2888183575,-10.52856445,12.9699707075,-3.204345705,-9.91821289,5.9509277325,28.83911133,-29.29687500275,-12.512207033625,2.28881836,-45.623779295,21.8200683575,4.8828125,17.3950195225,27.16064453,-0.915527375000011,-40.28320312675
"9","ctrl","Male","TTX",-65,-17.3950195275,-74.462890625,-0.7629394525,-23.193359373,1.6784667975,-5.03540039,-30.67016601675,0.915527342499999,10.9863281275,-23.80371093775,-25.93994141,0.91552734375,-67.29125977,6.40869140749999,-1.2207031225,9.9182128875,-9.91821289000001,-4.57763672499999,-46.3867187495
"10","ctrl","Male","TTX",-70,-25.329589845,-78.58276367275,-9.7656249995,-44.8608398425,-11.13891601675,-12.51220703,-46.5393066425,-10.986328126,-6.103515625,-20.7519531285,-40.1306152365,-3.0517578125,-79.65087891,-1.373291015,-4.73022461,2.89916992225,-27.31323242175,-10.8337402325,-49.8962402375
"11","ctrl","Male","TTX",-75,-32.9589843775,-63.9343261725,-17.08984374875,-67.74902343625,-17.395019532875,-12.512207025,-55.5419921875,-11.2915039075,-16.174316405,-9.4604492175,-53.405761719,-7.62939453175,-75.3784179695,-15.8691406225,-7.9345703125,-4.4250488275,-41.96166992275,-18.310546875,-52.185058595
