"","group","sex","drug","mV","c0823A","c0823B","c0826A","c0826B","c0827A","c0827B","c0845A","c0845B","c0852A","c0852B","c0860A","c0871A","c0871B","c0882A","c0882B","c0882C","c0889A","c0889B"
"1","expt","Male","TTX",-25,40.5883789075,42.4194336,34.79003905,20.7519531225,27.7709960975,36.46850585,65.0024414,36.46850586,26.2451171975,15.5639648375,45.9289551,34.179687525,10.223388675,31.280517575,56.304931625,66.680908175,46.23413085,4.73022459999999
"2","expt","Male","TTX",-30,46.53930664,48.6755371,48.9807128925,22.4304199225,41.656494145,57.830810565,78.4301757625,43.33496092,34.9426269525,18.920898445,42.877197285,37.0788574075,19.83642578,45.166015625,82.702636725,78.125,52.79541015,1.83105470000004
"3","expt","Male","TTX",-35,37.0788574225,41.198730475,48.82812501,20.751953125,41.50390625,46.9970702875,70.1904297075,35.5529785175,40.28320313,16.93725586,43.9453124975,31.4331054925,4.7302246125,56.7626953175,81.9396973,90.026855475,83.465576175,10.070800775
"4","expt","Male","TTX",-40,19.53125,48.217773425,51.11694336,8.0871582025,33.8745117175,35.400390625,66.0705566675,31.28051758,26.39770508,3.50952148750001,29.7546386725,28.8391113275,-31.8908691425,56.304931625,79.6508789,80.7189941625,75.68359375,8.23974608749998
"5","expt","Male","TTX",-45,-0.915527342499999,45.3186035,47.302246095,2.28881836,22.8881835975,23.6511230475,47.45483399,11.5966796875,14.95361328,-21.66748047,24.8718261725,8.697509765,-49.5910644525,46.0815429925,61.1877441,59.509277365,87.280273475,9.30786132749999
"6","expt","Male","TTX",-50,-28.6865234355,37.689209,31.433105465,-7.934570311,15.10620117,13.2751464875,36.77368163,-8.3923339825,-2.5939941425,-42.724609375,4.5776367175,-9.1552734375,-59.356689455,34.79003909,36.77368165,43.3349609275,70.0378418,5.9509277375
"7","expt","Male","TTX",-55,-49.133300785125,26.70288085,6.408691405,-17.54760742225,0.610351565000002,-3.204345705,14.3432617175,-21.3623046855,-14.95361327925,-56.7626953125,-9.91821289025,-22.88818359175,-60.119628905,16.021728505,16.021728525,11.5966796875,63.0187988,4.57763672
"8","expt","Male","TTX",-60,-55.5419921875,10.83374024,-22.58300781,-25.32958984525,-11.138916015625,-19.37866210925,-23.0407714825,-37.53662109375,-26.5502929705,-62.866210939375,-29.907226564,-35.70556640625,-57.83081054875,-3.81469726249999,-1.37329100000001,-6.408691405,43.48754885,0.915527342499999
"9","expt","Male","TTX",-65,-71.105957035,-2.2888183625,-45.471191407,-26.70288086025,-20.59936523625,-21.51489257975,-33.7219238275,-46.6918945325,-36.46850586,-65.91796875075,-41.19873047025,-50.6591796875,-54.1687011735,-19.6838378925,-21.2097167975,-29.754638671375,24.261474625,-0.3051757805
"10","expt","Male","TTX",-70,-65.612792971875,-8.5449218775,-57.8308105475,-33.874511719375,-30.8227539085,-31.43310546825,-54.0161132845,-52.6428222675,-43.02978515775,-61.950683595,-51.57470703375,-55.6945800835,-46.0815429705,-26.85546875,-31.280517575,-43.6401367225,-0.457763689999993,-7.9345703125
"11","expt","Male","TTX",-75,-80.10864258,-20.751953127,-68.9697265625,-39.062500001,-34.790039064375,-35.24780273325,-56.762695317,-57.8308105495,-44.09790039,-57.9833984375,-60.577392578,-68.206787113125,-47.607421875,-31.1279296875,-42.1142578125,-53.1005859385,-20.446777345,-10.3759765625
