"","group","sex","drug","mV","c0799A","c0799B","c0818A","c0818C","c0850A","c0850B","c0850C","c0885A","c0885B","c0885C","c0896A","c0896B","c0896C"
"1","ctrl","Female","XE",-25,8.0871581975,7.4768066425,25.32958985,31.4331055,13.5803222675,20.141601575,14.648437475,19.378662075,24.871826175,13.2751464875,72.631835925,10.223388675,11.2915039
"2","ctrl","Female","XE",-30,9.155273435,10.6811523425,22.430419925,20.904541025,17.3950195325,28.381347675,14.190673825,17.242431645,29.1442871,15.411376955,56.152343775,14.801025425,9.76562502499999
"3","ctrl","Female","XE",-35,12.0544433625,7.3242187505,22.7355957,20.59936525,20.5993652375,31.2805176,13.1225586,20.4467773425,41.9616699,6.2561035125,92.163085925,7.32421875,13.275146525
"4","ctrl","Female","XE",-40,10.5285644525,12.664794922,5.79833985000002,-5.79833985499999,-1.52587890749999,22.583007825,11.291503915,19.5312499975,36.926269525,10.68115234,51.574707025,10.986328125,15.8691406225
"5","ctrl","Female","XE",-45,10.2233886675,-0.15258789,7.17163087500001,-21.9726562425,-18.6157226575,14.1906738,11.7492675775,10.833740235,30.517578125,8.3923339825,63.0187988425,10.6811523425,14.8010253875
"6","ctrl","Female","XE",-50,8.2397460925,-10.8337402325,-16.78466795,-50.5065917925,-30.3649902325,9.3078613425,6.4086914075,3.356933595,22.8881836,2.2888183575,48.0651855475,1.220703125,9.76562499750001
"7","ctrl","Female","XE",-55,3.356933595,-20.446777345,-22.43041993,-64.39208984625,-40.130615235,1.06811523499999,1.068115235,-3.96728515425,1.2207031375,-0.30517578075,42.572021485,2.4414062525,6.5612793
"8","ctrl","Female","XE",-60,-0.305175780000001,-21.8200683575,-29.7546386825,-79.65087891,-44.860839845,-8.39233398249999,-6.866455075,-10.5285644525,-7.62939453250002,-2.7465820315,21.2097167975,-3.662109375,-4.2724609375
"9","ctrl","Female","XE",-65,-4.577636718875,-41.0461425725,-32.6538085925,-85.754394532,-39.21508789225,-17.700195315,-11.90185547125,-20.446777342,-14.3432617175,-6.561279295375,19.98901367375,-9.002685545,-9.155273437625
"10","ctrl","Female","XE",-70,-8.392333984,-37.8417968575,-31.58569336,-89.26391602,-39.36767578125,-26.397705078125,-15.10620117325,-25.7873535125,-27.6184082,-11.4440917985,-4.425048827375,-10.83374023,-13.27514648625
"11","ctrl","Female","XE",-75,-13.58032226475,-38.9099121225,-31.12792968825,-85.2966308525,-35.552978518875,-26.397705079,-25.4821777345,-31.58569336,-34.179687499875,-14.95361328425,-7.17163086125,-18.9208984425,-19.53125
