"","group","sex","drug","mV","c0798A","c0798B","c0819A","c0819B","c0851A","c0851B","c0856A","c0856B","c0856C","c0864B","c0884A","c0884B","c0884C"
"1","expt","Female","XE",-25,21.667480475,25.02441405,18.31054685,27.3132324,33.416748025,24.414062525,41.503906225,14.8010254,27.4658203,16.6320801,1.83105467500002,20.446777345,25.48217775
"2","expt","Female","XE",-30,31.127929675,15.41137695,21.9726562575,36.315917975,37.841796875,27.00805665,45.0134277499999,20.294189475,33.721923825,19.226074205,0.152587900000015,21.8200683575,14.34326172
"3","expt","Female","XE",-35,38.299560575,25.63476563,14.1906738275,42.266845725,32.348632825,25.177001925,53.558349625,21.66748045,21.82006835,6.56127929249999,1.9836426,20.751953125,12.6647949225
"4","expt","Female","XE",-40,20.904541,23.3459472675,12.35961914,30.6701659975,32.5012207175,20.5993652625,41.3513184,20.141601555,47.76000975,5.34057616999999,0.915527374999982,21.36230469,11.74926758
"5","expt","Female","XE",-45,28.53393555,15.258789065,3.96728515749999,32.19604494,18.7683105425,10.52856445,21.057128925,11.291503905,34.790039075,-0.457763672500008,-2.59399417500001,15.869140625,5.03540039
"6","expt","Female","XE",-50,21.82006835,13.427734375,2.44140625,18.6157226575,10.37597656,8.6975097625,11.90185545,5.4931640625,26.85546875,-11.1389160175,0.610351557499996,0.6103515625,-0.6103515625
"7","expt","Female","XE",-55,12.9699707,5.03540039249999,-5.7983398425,7.78198242,-1.831054685,-5.1879882825,-5.64575195249999,-0.915527347499999,28.9916992275,-22.888183595,-2.5939941375,-5.4931640625,-7.171630859625
"8","expt","Female","XE",-60,2.59399412499999,-0.15258789,-12.817382812375,-7.781982425,-8.087158203,-10.68115234425,-22.888183595,-9.155273438125,12.9699707025,-27.618408205,-3.9672851575,-11.90185546975,-14.3432617205
"9","expt","Female","XE",-65,-2.89916992249999,-6.256103513125,-14.6484375015,-12.35961913925,-21.66748047025,-19.37866211175,-35.55297851875,-19.98901367475,5.34057617225,-30.364990238125,-3.05175781425,-22.12524414075,-22.735595705
"10","expt","Female","XE",-70,-15.258789065,-12.207031250875,-20.7519531255,-20.751953127,-27.31323242225,-26.70288086225,-47.91259765875,-22.88818359425,-8.6975097625,-31.738281255,-6.56127929675,-21.97265625225,-24.4140624975
"11","expt","Female","XE",-75,-22.58300781375,-19.989013672375,-23.1933593775,-26.7028808625,-32.806396485,-33.56933593775,-59.9670410175,-32.9589843775,-18.920898435,-33.1115722655,-7.01904297,-25.63476562575,-32.958984375
