"","group","sex","drug","mV","c0812A","c0822A","c0822B","c0824A","c0824B","c0824C","c0829A","c0829B","c0830A","c0830B","c0861A","c0861B","c0874A","c0879A","c0879B","c0879C","c0880A","c0890A","c0890B"
"1","ctrl","Male","XE",-25,5.34057615,12.5122070275,12.51220705,36.315917975,17.395019525,8.39233395000002,32.806396475,9.61303712500001,26.55029295,18.0053710975,28.839111325,3.50952148499999,60.272216825,7.47680664999996,8.85009765750002,8.39233400000001,61.6455078500001,-1.220703125,25.787353525
"2","ctrl","Male","XE",-30,2.746582025,10.528564455,16.93725585,48.37036135,17.700195325,8.23974609999999,38.909912125,21.0571289,28.68652345,17.39501953,44.86083985,-0.610351559999998,50.201416,27.923583975,7.32421874750001,-0.610351550000019,74.0051269750001,4.88281252500002,28.22875977
"3","ctrl","Male","XE",-35,-6.86645508000001,0.4577636725,15.869140625,44.70825195,15.258789065,17.3950195,49.7436523275,11.7492676,33.721923825,11.5966796875,45.166015605,5.950927735,32.04345705,31.280517575,12.9699707,14.495849575,85.144042975,4.27246092499999,39.21508789
"4","ctrl","Male","XE",-40,-12.6647949225,-36.6210937475,12.8173828,40.7409668,12.054443355,7.62939449999999,45.77636718,6.71386715,30.364990225,-10.5285644525,32.0434570325,3.204345705,25.177001975,19.378662125,10.375976565,16.1743164,86.6699219,0.762939450000005,33.56933594
"5","ctrl","Male","XE",-45,-9.765624995,-60.72998047125,8.6975097775,38.45214845,10.9863281275,5.18798828,33.7219238275,11.901855475,34.79003905,-18.920898435,27.0080566425,1.5258789075,-1.98364258000001,8.08715819999998,8.239746094,11.138916025,83.4655762,1.98364254999998,21.66748047
"6","ctrl","Male","XE",-50,-18.46313476825,-77.81982421825,5.64575195250001,16.17431641,6.4086914025,8.392333985,26.2451171925,14.6484375,27.31323241,-26.3977050785,22.12524414,-0.4577636725,-24.8718261675,15.41137695,6.1035156255,12.359619125,59.509277355,1.220703125,6.256103515
"7","ctrl","Male","XE",-55,-26.09252929925,-79.65087890875,1.3732910175,9.00268554500001,3.2043457025,7.01904296975,7.4768066425,9.15527342999999,18.6157226575,-34.484863282,10.3759765625,-0.457763672,-46.0815429675,7.7819824,1.983642575,13.8854980525,39.825439445,0.915527349999991,-18.7683105475
"8","ctrl","Male","XE",-60,-27.1606445325,-80.7189941425,-2.8991699225,-4.8828125,2.89916992,0.6103515625,-11.13891601425,1.8310546875,10.833740235,-34.942626955,-2.7465820325,2.593994140625,-61.79809570125,2.28881835750001,-0.15258789,2.7465820325,25.1770019525,-4.42504882499999,-36.62109375175
"9","ctrl","Male","XE",-65,-36.926269525,-79.49829102,-5.1879882775,-14.4958496075,-5.798339845,-2.4414062475,-30.364990232,-13.275146485,1.98364258,-33.11157226825,-12.359619143,-0.457763672,-72.6318359405,-5.950927735,-1.06811523499999,-1.6784668,-12.5122070275,-6.25610351500001,-45.47119140775
"10","ctrl","Male","XE",-70,-40.130615245,-74.157714844,-11.749267579625,-31.73828124925,-9.46044922175,-5.18798827500001,-45.62377929775,-14.34326172175,-6.713867187625,-27.4658203075,-20.44677734475,-4.73022461,-81.93969727,-9.918212891,-1.6784667975,0,-24.26147461175,-13.8854980475,-52.03247070625
"11","ctrl","Male","XE",-75,-43.18237305,-66.986083985,-16.63208007925,-32.9589843775,-13.73291015825,-8.85009767499997,-60.4248046875,-14.80102539,-13.275146485,-14.3432617175,-29.602050785,-5.1879882825,-83.31298828,-10.2233886725,-10.375976565,-4.11987304499999,-34.02709960975,-15.10620117,-52.3376464825
