"","group","sex","drug","mV","c0823A","c0823B","c0826A","c0826B","c0827A","c0827B","c0845A","c0845B","c0852A","c0852B","c0860A","c0871A","c0871B","c0882A","c0882B","c0882C","c0889A","c0889B"
"1","expt","Male","XE",-25,30.6701660075,22.888183575,21.6674805,16.7846679725,15.8691406175,17.2424316475,32.348632825,21.972656255,14.495849595,9.30786133000001,24.871826175,12.664794925,11.1389160175,16.479492175,41.19873045,54.626464875,18.920898425,1.83105467499999
"2","expt","Male","XE",-30,34.9426269475,21.209716775,28.07617188,20.9045410175,25.024414065,20.5993652325,50.3540039,24.8718261775,20.4467773425,14.19067383,21.66748047,22.1252441525,14.6484375,19.0734863,56.45751955,44.403076225,42.114257825,1.67846680000001
"3","expt","Male","XE",-35,18.0053710975,24.2614746,32.653808595,13.427734375,21.97265625,28.3813476575,67.596435525,20.446777345,21.6674804675,9.46044922,19.83642578,18.0053710975,8.850097655,28.991699225,52.490234375,52.4902344,55.84716795,4.730224605
"4","expt","Male","XE",-40,8.544921875,34.179687525,25.024414065,9.91821289,22.43041992,21.2097167925,43.9453124775,20.294189455,17.39501953,-0.915527340000004,22.1252441425,3.6621093725,-13.8854980475,34.63745116,57.220458975,49.7436523575,45.3186035,4.272460935
"5","expt","Male","XE",-45,-13.580322265,25.939941425,21.2097167975,1.373291015,13.275146485,5.798339845,36.6210937525,3.509521485,12.05444336,-22.2778320325,10.0708007825,-2.1362304675,-36.16333008,29.602050785,45.013427775,41.1987305,42.5720215,7.32421875
"6","expt","Male","XE",-50,-31.58569336175,25.4821777,3.81469726825,-8.2397460945,4.425048825,-3.204345705,24.5666504075,-8.239746095,0.762939454999998,-40.435791015,-2.13623047,-11.5966796875,-46.2341308625,19.226074235,26.0925293,30.8227539025,51.4221191,3.35693359
"7","expt","Male","XE",-55,-47.76000976825,15.106201125,-15.411376955,-17.39501953125,-2.288818363,-6.7138671875,3.81469726750001,-14.1906738325,-9.46044921625,-57.52563476425,-12.81738281,-20.29418945125,-53.8635253925,3.0517578125,14.6484375,9.002685545,24.2614746,1.8310546905
"8","expt","Male","XE",-60,-64.84985352,10.8337402375,-45.3186035155,-20.904541019,-15.716552732875,-14.0380859375,-11.7492675775,-23.498535158125,-18.46313477025,-61.6455078125,-22.583007814,-27.008056642,-46.99707031,-6.25610351750001,-5.95092773499999,-6.2561035125,22.8881836,0.152587890625
"9","expt","Male","XE",-65,-76.7517089875,-3.204345705,-63.4765625025,-26.245117188,-20.904541017,-16.632080080375,-29.449462885,-30.975341796875,-24.8718261725,-61.03515625125,-28.22875976575,-42.8771972675,-43.792724608,-16.9372558575,-17.8527832025,-20.751953122875,7.62939452750001,-4.4250488275
"10","expt","Male","XE",-70,-79.4982910175,-7.01904297,-77.6672363325,-32.95898437725,-24.87182617525,-20.294189454,-43.79272460875,-37.841796875,-33.874511721875,-56.6101074225,-40.130615235625,-45.92895508075,-39.67285156375,-21.36230469,-28.3813476575,-29.7546386725,-4.73022460999999,-4.57763672
"11","expt","Male","XE",-75,-82.5500488375,-14.1906738285,-91.4001464925,-35.40039062675,-30.82275391,-25.78735351575,-46.3867187525,-41.19873047,-35.705566405,-53.2531738275,-43.3349609385,-50.506591796125,-34.484863279,-24.26147461,-34.4848632845,-44.097900388,-18.1579589825,-10.6811523475
