subject,sex,group,epm_open_time
1749n,Male,Control,18.5
e3089,Male,Control,47.3
e3093,Male,Control,13.5
e3095,Male,Control,12.3
e3096,Male,Control,5.3
k1982,Male,Control,26.5
k1983,Male,Control,24.3
k1984,Male,Control,31.8
p2711,Male,Stressed,22.4
p2715,Male,Stressed,18.2
p2705,Male,Stressed,36.5
p2714,Male,Stressed,4.4
p2713,Male,Stressed,6.2
p2704,Male,Stressed,9.6
p2703,Male,Stressed,10
p2706,Male,Stressed,27.8
p2701,Male,Stressed,34.7
p2709,Male,Stressed,13.3
p2710,Male,Stressed,38.6
p2707,Male,Stressed,30
p2712,Male,Stressed,0.7
p2708,Male,Stressed,8
p2702,Male,Stressed,4.6
p2726,D. Female,Control,7.3
p2720,D. Female,Control,NA
p2721,D. Female,Control,31.4
p2731,D. Female,Control,32.6
p2728,D. Female,Control,36.6
p2729,D. Female,Control,16.7
p2718,D. Female,Control,25.7
p2723,D. Female,Control,38
p2717,D. Female,Control,16.5
p2730,D. Female,Control,26.6
s0968,D. Female,Control,6.5
s0964,D. Female,Control,14.5
s0981,D. Female,Control,2.5
s0977,D. Female,Control,4
e3092,D. Female,Stressed,9.3
1776n,D. Female,Stressed,73.4
1774n,D. Female,Stressed,17.8
1752n,D. Female,Stressed,43.4
1778n,D. Female,Stressed,40.6
c176,D. Female,Stressed,3.5
1751n,D. Female,Stressed,20.2
s0975,D. Female,Stressed,18
s0967,D. Female,Stressed,0
s0973,D. Female,Stressed,13.2
s0966,D. Female,Stressed,43.6
