"","subslice","group","sex","mV","pA"
"1","c0798A","Stressed","Female",-30,27.618408225
"2","c0798A","Stressed","Female",-35,13.42773435
"3","c0798A","Stressed","Female",-40,37.07885745
"4","c0798A","Stressed","Female",-45,25.939941425
"5","c0798A","Stressed","Female",-50,17.08984375
"6","c0798A","Stressed","Female",-55,12.05444335
"7","c0798A","Stressed","Female",-60,3.35693365
"8","c0798A","Stressed","Female",-65,-10.2233886725
"9","c0798A","Stressed","Female",-70,-5.6457519525
"10","c0798A","Stressed","Female",-75,-8.544921875125
"11","c0798B","Stressed","Female",-30,18.61572265
"12","c0798B","Stressed","Female",-35,17.8527832225
"13","c0798B","Stressed","Female",-40,14.3432617375
"14","c0798B","Stressed","Female",-45,23.4985351675
"15","c0798B","Stressed","Female",-50,12.05444336
"16","c0798B","Stressed","Female",-55,14.343261715
"17","c0798B","Stressed","Female",-60,10.6811523475
"18","c0798B","Stressed","Female",-65,7.019042968875
"19","c0798B","Stressed","Female",-70,-1.678466796875
"20","c0798B","Stressed","Female",-75,-3.814697267625
"21","c0799A","Control","Female",-30,21.66748044
"22","c0799A","Control","Female",-35,18.1579589875
"23","c0799A","Control","Female",-40,21.2097167975
"24","c0799A","Control","Female",-45,19.226074225
"25","c0799A","Control","Female",-50,10.528564455
"26","c0799A","Control","Female",-55,9.0026855475
"27","c0799A","Control","Female",-60,4.1198730425
"28","c0799A","Control","Female",-65,1.62500057854231e-09
"29","c0799A","Control","Female",-70,-6.86645508025
"30","c0799A","Control","Female",-75,-9.91821289575
"31","c0799B","Control","Female",-30,20.5993652375
"32","c0799B","Control","Female",-35,21.66748046575
"33","c0799B","Control","Female",-40,18.3105468755
"34","c0799B","Control","Female",-45,20.44677734375
"35","c0799B","Control","Female",-50,10.83374023
"36","c0799B","Control","Female",-55,15.563964845
"37","c0799B","Control","Female",-60,-2.1362304675
"38","c0799B","Control","Female",-65,8.6975097625
"39","c0799B","Control","Female",-70,-2.89916994000001
"40","c0799B","Control","Female",-75,-0.457763655000008
"41","c0812A","Control","Male",-30,7.47680665
"42","c0812A","Control","Male",-35,10.68115228
"43","c0812A","Control","Male",-40,18.1579589725
"44","c0812A","Control","Male",-45,8.85009767
"45","c0812A","Control","Male",-50,10.98632812575
"46","c0812A","Control","Male",-55,9.61303710925
"47","c0812A","Control","Male",-60,13.732910158125
"48","c0812A","Control","Male",-65,19.5312499975
"49","c0812A","Control","Male",-70,14.8010254
"50","c0812A","Control","Male",-75,10.2233886725
"51","c0818A","Control","Female",-30,22.277832075
"52","c0818A","Control","Female",-35,10.68115235
"53","c0818A","Control","Female",-40,12.969970675
"54","c0818A","Control","Female",-45,-7.78198244999999
"55","c0818A","Control","Female",-50,3.0517578
"56","c0818A","Control","Female",-55,-3.50952147249998
"57","c0818A","Control","Female",-60,3.50952148249999
"58","c0818A","Control","Female",-65,5.3405761675
"59","c0818A","Control","Female",-70,1.6784668
"60","c0818A","Control","Female",-75,9.307861331
"61","c0818C","Control","Female",-30,14.1906738
"62","c0818C","Control","Female",-35,10.52856445
"63","c0818C","Control","Female",-40,13.122558605
"64","c0818C","Control","Female",-45,-1.8310547
"65","c0818C","Control","Female",-50,4.5776367375
"66","c0818C","Control","Female",-55,4.11987304375
"67","c0818C","Control","Female",-60,9.00268555375001
"68","c0818C","Control","Female",-65,17.2424316395
"69","c0818C","Control","Female",-70,27.465820314875
"70","c0818C","Control","Female",-75,26.3977050675
"71","c0819A","Stressed","Female",-30,13.2751464675
"72","c0819A","Stressed","Female",-35,20.9045410125
"73","c0819A","Stressed","Female",-40,12.9699707
"74","c0819A","Stressed","Female",-45,9.15527343250002
"75","c0819A","Stressed","Female",-50,4.425048825
"76","c0819A","Stressed","Female",-55,-2.7465820325
"77","c0819A","Stressed","Female",-60,-8.544921875625
"78","c0819A","Stressed","Female",-65,-12.969970701
"79","c0819A","Stressed","Female",-70,-14.648437503
"80","c0819A","Stressed","Female",-75,-21.6674804675
"81","c0819B","Stressed","Female",-30,10.52856445
"82","c0819B","Stressed","Female",-35,6.71386715000001
"83","c0819B","Stressed","Female",-40,8.2397461275
"84","c0819B","Stressed","Female",-45,1.06811520749999
"85","c0819B","Stressed","Female",-50,5.95092773
"86","c0819B","Stressed","Female",-55,0.762939457500003
"87","c0819B","Stressed","Female",-60,3.81469727
"88","c0819B","Stressed","Female",-65,-4.425048832625
"89","c0819B","Stressed","Female",-70,-7.7819824225
"90","c0819B","Stressed","Female",-75,-10.986328124125
"91","c0822A","Control","Male",-30,7.93457031
"92","c0822A","Control","Male",-35,8.697509765
"93","c0822A","Control","Male",-40,19.2260742175
"94","c0822A","Control","Male",-45,10.68115234625
"95","c0822A","Control","Male",-50,11.44409179425
"96","c0822A","Control","Male",-55,7.47680664175
"97","c0822A","Control","Male",-60,3.35693359500002
"98","c0822A","Control","Male",-65,5.035400395
"99","c0822A","Control","Male",-70,-4.42504882875001
"100","c0822A","Control","Male",-75,3.05175781249999
"101","c0822B","Control","Male",-30,17.089843775
"102","c0822B","Control","Male",-35,21.3623047
"103","c0822B","Control","Male",-40,14.64843755
"104","c0822B","Control","Male",-45,14.6484375225
"105","c0822B","Control","Male",-50,13.42773439
"106","c0822B","Control","Male",-55,11.749267575
"107","c0822B","Control","Male",-60,5.18798828
"108","c0822B","Control","Male",-65,4.425048825
"109","c0822B","Control","Male",-70,1.983642580125
"110","c0822B","Control","Male",-75,-0.457763669499997
"111","c0823A","Stressed","Male",-30,11.5966796925
"112","c0823A","Stressed","Male",-35,19.073486325
"113","c0823A","Stressed","Male",-40,10.986328125
"114","c0823A","Stressed","Male",-45,12.6647949225
"115","c0823A","Stressed","Male",-50,2.89916992625
"116","c0823A","Stressed","Male",-55,-1.37329101687501
"117","c0823A","Stressed","Male",-60,9.30786133250001
"118","c0823A","Stressed","Male",-65,5.64575195249999
"119","c0823A","Stressed","Male",-70,13.885498045625
"120","c0823A","Stressed","Male",-75,2.44140625749999
"121","c0823B","Stressed","Male",-30,27.465820325
"122","c0823B","Stressed","Male",-35,16.937255875
"123","c0823B","Stressed","Male",-40,14.0380859
"124","c0823B","Stressed","Male",-45,19.378662075
"125","c0823B","Stressed","Male",-50,12.2070313
"126","c0823B","Stressed","Male",-55,11.596679725
"127","c0823B","Stressed","Male",-60,2.49998777235305e-09
"128","c0823B","Stressed","Male",-65,0.915527342500006
"129","c0823B","Stressed","Male",-70,-1.5258789075
"130","c0823B","Stressed","Male",-75,-6.5612792985
"131","c0824A","Control","Male",-30,32.3486328
"132","c0824A","Control","Male",-35,21.667480475
"133","c0824A","Control","Male",-40,24.871826175
"134","c0824A","Control","Male",-45,19.3786620975
"135","c0824A","Control","Male",-50,18.7683105375
"136","c0824A","Control","Male",-55,7.01904297
"137","c0824A","Control","Male",-60,-5.64575195
"138","c0824A","Control","Male",-65,-8.6975097655
"139","c0824A","Control","Male",-70,-13.12255859325
"140","c0824A","Control","Male",-75,-34.79003905875
"141","c0824B","Control","Male",-30,14.343261725
"142","c0824B","Control","Male",-35,18.920898435
"143","c0824B","Control","Male",-40,30.51757816
"144","c0824B","Control","Male",-45,23.9562988475
"145","c0824B","Control","Male",-50,20.5993652375
"146","c0824B","Control","Male",-55,18.157958985
"147","c0824B","Control","Male",-60,10.0708007875
"148","c0824B","Control","Male",-65,7.4768066425
"149","c0824B","Control","Male",-70,-1.678466795
"150","c0824B","Control","Male",-75,-3.662109374625
"151","c0824C","Control","Male",-30,9.46044922500002
"152","c0824C","Control","Male",-35,3.96728522500001
"153","c0824C","Control","Male",-40,7.01904300000001
"154","c0824C","Control","Male",-45,17.0898437675
"155","c0824C","Control","Male",-50,5.03540039
"156","c0824C","Control","Male",-55,-5.64575195225
"157","c0824C","Control","Male",-60,-3.8146972675
"158","c0824C","Control","Male",-65,-2.5939941425
"159","c0824C","Control","Male",-70,-7.324218755
"160","c0824C","Control","Male",-75,-3.66210935000001
"161","c0826A","Stressed","Male",-30,20.9045410125
"162","c0826A","Stressed","Male",-35,16.174316415
"163","c0826A","Stressed","Male",-40,26.092529295
"164","c0826A","Stressed","Male",-45,26.0925292975
"165","c0826A","Stressed","Male",-50,27.61840819675
"166","c0826A","Stressed","Male",-55,21.82006836
"167","c0826A","Stressed","Male",-60,22.7355957055
"168","c0826A","Stressed","Male",-65,18.0053710955
"169","c0826A","Stressed","Male",-70,19.836425785
"170","c0826A","Stressed","Male",-75,22.43041993
"171","c0826B","Stressed","Male",-30,1.525878905
"172","c0826B","Stressed","Male",-35,7.32421875
"173","c0826B","Stressed","Male",-40,-1.8310546875
"174","c0826B","Stressed","Male",-45,0.915527345000003
"175","c0826B","Stressed","Male",-50,0.305175783499999
"176","c0826B","Stressed","Male",-55,-0.152587891
"177","c0826B","Stressed","Male",-60,-4.42504882625
"178","c0826B","Stressed","Male",-65,-0.45776367225
"179","c0826B","Stressed","Male",-70,-0.915527342124996
"180","c0826B","Stressed","Male",-75,-3.66210937425
"181","c0827A","Stressed","Male",-30,16.63208008
"182","c0827A","Stressed","Male",-35,19.53125
"183","c0827A","Stressed","Male",-40,11.4440917975
"184","c0827A","Stressed","Male",-45,9.61303711250001
"185","c0827A","Stressed","Male",-50,10.681152345
"186","c0827A","Stressed","Male",-55,2.899169928
"187","c0827A","Stressed","Male",-60,4.57763671725
"188","c0827A","Stressed","Male",-65,0.305175780749998
"189","c0827A","Stressed","Male",-70,-5.95092773325
"190","c0827A","Stressed","Male",-75,-3.96728515437499
"191","c0827B","Stressed","Male",-30,37.2314453325
"192","c0827B","Stressed","Male",-35,18.61572263
"193","c0827B","Stressed","Male",-40,14.1906738325
"194","c0827B","Stressed","Male",-45,17.8527832025
"195","c0827B","Stressed","Male",-50,16.4794921925
"196","c0827B","Stressed","Male",-55,3.5095214825
"197","c0827B","Stressed","Male",-60,-5.34057617175
"198","c0827B","Stressed","Male",-65,-4.882812499375
"199","c0827B","Stressed","Male",-70,-11.13891601425
"200","c0827B","Stressed","Male",-75,-9.4604492175
"201","c0829A","Control","Male",-30,0.61035154249997
"202","c0829A","Control","Male",-35,6.408691445
"203","c0829A","Control","Male",-40,22.5830078275
"204","c0829A","Control","Male",-45,15.1062011725
"205","c0829A","Control","Male",-50,12.054443355
"206","c0829A","Control","Male",-55,3.81469726749999
"207","c0829A","Control","Male",-60,1.22070312425
"208","c0829A","Control","Male",-65,-0.305175784750006
"209","c0829A","Control","Male",-70,-0.915527344750004
"210","c0829A","Control","Male",-75,4.8828125
"211","c0829B","Control","Male",-30,3.35693357499997
"212","c0829B","Control","Male",-35,16.1743164
"213","c0829B","Control","Male",-40,14.953613325
"214","c0829B","Control","Male",-45,16.63208005
"215","c0829B","Control","Male",-50,7.47680662499999
"216","c0829B","Control","Male",-55,8.23974612250001
"217","c0829B","Control","Male",-60,4.119873045
"218","c0829B","Control","Male",-65,14.1906738275
"219","c0829B","Control","Male",-70,3.35693359575
"220","c0829B","Control","Male",-75,3.50952148250001
"221","c0830A","Control","Male",-30,48.828124975
"222","c0830A","Control","Male",-35,50.20141605
"223","c0830A","Control","Male",-40,49.896240225
"224","c0830A","Control","Male",-45,36.315918
"225","c0830A","Control","Male",-50,36.468505865
"226","c0830A","Control","Male",-55,30.059814475
"227","c0830A","Control","Male",-60,18.005371095
"228","c0830A","Control","Male",-65,9.0026855475
"229","c0830A","Control","Male",-70,0.610351562625
"230","c0830A","Control","Male",-75,-2.89916992
"231","c0830B","Control","Male",-30,-12.207031245
"232","c0830B","Control","Male",-35,-26.70288086
"233","c0830B","Control","Male",-40,-21.66748047
"234","c0830B","Control","Male",-45,-18.61572265975
"235","c0830B","Control","Male",-50,-9.91821289
"236","c0830B","Control","Male",-55,-5.00001817727025e-10
"237","c0830B","Control","Male",-60,5.64575195225
"238","c0830B","Control","Male",-65,9.3078613305
"239","c0830B","Control","Male",-70,6.713867179
"240","c0830B","Control","Male",-75,4.88281250000001
"241","c0845A","Stressed","Male",-30,28.0761718625
"242","c0845A","Stressed","Male",-35,2.59399418249998
"243","c0845A","Stressed","Male",-40,22.12524419
"244","c0845A","Stressed","Male",-45,10.8337402375
"245","c0845A","Stressed","Male",-50,12.2070312225
"246","c0845A","Stressed","Male",-55,10.52856445
"247","c0845A","Stressed","Male",-60,-11.291503905
"248","c0845A","Stressed","Male",-65,-4.27246094250001
"249","c0845A","Stressed","Male",-70,-10.22338867575
"250","c0845A","Stressed","Male",-75,-10.3759765645
"251","c0845B","Stressed","Male",-30,18.4631347425
"252","c0845B","Stressed","Male",-35,15.1062011725
"253","c0845B","Stressed","Male",-40,10.986328125
"254","c0845B","Stressed","Male",-45,8.0871582025
"255","c0845B","Stressed","Male",-50,-0.152587887499998
"256","c0845B","Stressed","Male",-55,-7.171630853
"257","c0845B","Stressed","Male",-60,-14.038085935625
"258","c0845B","Stressed","Male",-65,-15.716552735625
"259","c0845B","Stressed","Male",-70,-14.8010253925
"260","c0845B","Stressed","Male",-75,-16.6320800795
"261","c0850A","Control","Female",-30,30.975341795
"262","c0850A","Control","Female",-35,24.2614746025
"263","c0850A","Control","Female",-40,28.2287597675
"264","c0850A","Control","Female",-45,22.2778320325
"265","c0850A","Control","Female",-50,12.512207025
"266","c0850A","Control","Female",-55,5.34057617249999
"267","c0850A","Control","Female",-60,-1.52587890499999
"268","c0850A","Control","Female",-65,-9.6130371095
"269","c0850A","Control","Female",-70,-10.528564455
"270","c0850A","Control","Female",-75,-11.901855465625
"271","c0850B","Control","Female",-30,-9.61303715
"272","c0850B","Control","Female",-35,-11.596679725
"273","c0850B","Control","Female",-40,-8.69750977499999
"274","c0850B","Control","Female",-45,-7.17163082750001
"275","c0850B","Control","Female",-50,-9.1552734525
"276","c0850B","Control","Female",-55,-5.7983398475
"277","c0850B","Control","Female",-60,-4.11987304750001
"278","c0850B","Control","Female",-65,0.305175785000003
"279","c0850B","Control","Female",-70,6.713867188
"280","c0850B","Control","Female",-75,3.204345706125
"281","c0850C","Control","Female",-30,7.17163085000004
"282","c0850C","Control","Female",-35,8.85009764999998
"283","c0850C","Control","Female",-40,7.93457032000001
"284","c0850C","Control","Female",-45,6.10351562500001
"285","c0850C","Control","Female",-50,1.22070312
"286","c0850C","Control","Female",-55,-3.204345705
"287","c0850C","Control","Female",-60,-2.593994145
"288","c0850C","Control","Female",-65,-7.0190429655
"289","c0850C","Control","Female",-70,-9.3078613295
"290","c0850C","Control","Female",-75,-8.8500976575
"291","c0851A","Stressed","Female",-30,20.44677735
"292","c0851A","Stressed","Female",-35,25.3295898
"293","c0851A","Stressed","Female",-40,35.09521482
"294","c0851A","Stressed","Female",-45,28.076171895
"295","c0851A","Stressed","Female",-50,18.0053710975
"296","c0851A","Stressed","Female",-55,21.6674804625
"297","c0851A","Stressed","Female",-60,12.9699707005
"298","c0851A","Stressed","Female",-65,9.002685547
"299","c0851A","Stressed","Female",-70,8.54492187375
"300","c0851A","Stressed","Female",-75,6.8664550775
"301","c0851B","Stressed","Female",-30,0.610351550000019
"302","c0851B","Stressed","Female",-35,-3.35693355000001
"303","c0851B","Stressed","Female",-40,0.610351534999978
"304","c0851B","Stressed","Female",-45,1.06811524
"305","c0851B","Stressed","Female",-50,-6.4086914025
