"","subslice","group","sex","-30","-35","-40","-45","-50","-55","-60","-65","-70","-75"
"1","c0798A","Stressed","Female",27.618408225,13.42773435,37.07885745,25.939941425,17.08984375,12.05444335,3.35693365,-10.2233886725,-5.6457519525,-8.544921875125
"2","c0798B","Stressed","Female",18.61572265,17.8527832225,14.3432617375,23.4985351675,12.05444336,14.343261715,10.6811523475,7.019042968875,-1.678466796875,-3.814697267625
"3","c0799A","Control","Female",21.66748044,18.1579589875,21.2097167975,19.226074225,10.528564455,9.0026855475,4.1198730425,1.62500057854231e-09,-6.86645508025,-9.91821289575
"4","c0799B","Control","Female",20.5993652375,21.66748046575,18.3105468755,20.44677734375,10.83374023,15.563964845,-2.1362304675,8.6975097625,-2.89916994000001,-0.457763655000008
"5","c0812A","Control","Male",7.47680665,10.68115228,18.1579589725,8.85009767,10.98632812575,9.61303710925,13.732910158125,19.5312499975,14.8010254,10.2233886725
"6","c0818A","Control","Female",22.277832075,10.68115235,12.969970675,-7.78198244999999,3.0517578,-3.50952147249998,3.50952148249999,5.3405761675,1.6784668,9.307861331
"7","c0818C","Control","Female",14.1906738,10.52856445,13.122558605,-1.8310547,4.5776367375,4.11987304375,9.00268555375001,17.2424316395,27.465820314875,26.3977050675
"8","c0819A","Stressed","Female",13.2751464675,20.9045410125,12.9699707,9.15527343250002,4.425048825,-2.7465820325,-8.544921875625,-12.969970701,-14.648437503,-21.6674804675
"9","c0819B","Stressed","Female",10.52856445,6.71386715000001,8.2397461275,1.06811520749999,5.95092773,0.762939457500003,3.81469727,-4.425048832625,-7.7819824225,-10.986328124125
"10","c0822A","Control","Male",7.93457031,8.697509765,19.2260742175,10.68115234625,11.44409179425,7.47680664175,3.35693359500002,5.035400395,-4.42504882875001,3.05175781249999
"11","c0822B","Control","Male",17.089843775,21.3623047,14.64843755,14.6484375225,13.42773439,11.749267575,5.18798828,4.425048825,1.983642580125,-0.457763669499997
"12","c0823A","Stressed","Male",11.5966796925,19.073486325,10.986328125,12.6647949225,2.89916992625,-1.37329101687501,9.30786133250001,5.64575195249999,13.885498045625,2.44140625749999
"13","c0823B","Stressed","Male",27.465820325,16.937255875,14.0380859,19.378662075,12.2070313,11.596679725,2.49998777235305e-09,0.915527342500006,-1.5258789075,-6.5612792985
"14","c0824A","Control","Male",32.3486328,21.667480475,24.871826175,19.3786620975,18.7683105375,7.01904297,-5.64575195,-8.6975097655,-13.12255859325,-34.79003905875
"15","c0824B","Control","Male",14.343261725,18.920898435,30.51757816,23.9562988475,20.5993652375,18.157958985,10.0708007875,7.4768066425,-1.678466795,-3.662109374625
"16","c0824C","Control","Male",9.46044922500002,3.96728522500001,7.01904300000001,17.0898437675,5.03540039,-5.64575195225,-3.8146972675,-2.5939941425,-7.324218755,-3.66210935000001
"17","c0826A","Stressed","Male",20.9045410125,16.174316415,26.092529295,26.0925292975,27.61840819675,21.82006836,22.7355957055,18.0053710955,19.836425785,22.43041993
"18","c0826B","Stressed","Male",1.525878905,7.32421875,-1.8310546875,0.915527345000003,0.305175783499999,-0.152587891,-4.42504882625,-0.45776367225,-0.915527342124996,-3.66210937425
"19","c0827A","Stressed","Male",16.63208008,19.53125,11.4440917975,9.61303711250001,10.681152345,2.899169928,4.57763671725,0.305175780749998,-5.95092773325,-3.96728515437499
"20","c0827B","Stressed","Male",37.2314453325,18.61572263,14.1906738325,17.8527832025,16.4794921925,3.5095214825,-5.34057617175,-4.882812499375,-11.13891601425,-9.4604492175
"21","c0829A","Control","Male",0.61035154249997,6.408691445,22.5830078275,15.1062011725,12.054443355,3.81469726749999,1.22070312425,-0.305175784750006,-0.915527344750004,4.8828125
"22","c0829B","Control","Male",3.35693357499997,16.1743164,14.953613325,16.63208005,7.47680662499999,8.23974612250001,4.119873045,14.1906738275,3.35693359575,3.50952148250001
"23","c0830A","Control","Male",48.828124975,50.20141605,49.896240225,36.315918,36.468505865,30.059814475,18.005371095,9.0026855475,0.610351562625,-2.89916992
"24","c0830B","Control","Male",-12.207031245,-26.70288086,-21.66748047,-18.61572265975,-9.91821289,-5.00001817727025e-10,5.64575195225,9.3078613305,6.713867179,4.88281250000001
"25","c0845A","Stressed","Male",28.0761718625,2.59399418249998,22.12524419,10.8337402375,12.2070312225,10.52856445,-11.291503905,-4.27246094250001,-10.22338867575,-10.3759765645
"26","c0845B","Stressed","Male",18.4631347425,15.1062011725,10.986328125,8.0871582025,-0.152587887499998,-7.171630853,-14.038085935625,-15.716552735625,-14.8010253925,-16.6320800795
"27","c0850A","Control","Female",30.975341795,24.2614746025,28.2287597675,22.2778320325,12.512207025,5.34057617249999,-1.52587890499999,-9.6130371095,-10.528564455,-11.901855465625
