subject,sex,group,novel_eat_latency
e3089,Male,Control,410.7
e3095,Male,Control,512.8
1749n,Male,Control,
k1984,Male,Control,
e3088,Male,Control,445.8
k1983,Male,Control,
e3096,Male,Control,285.3
1750n,Male,Control,
e3093,Male,Control,160.6
1748n,Male,Control,
k1982,Male,Control,
p2714,Male,Stressed,
p2704,Male,Stressed,337.3
p2710,Male,Stressed,520.6
p2702,Male,Stressed,95.1
p2711,Male,Stressed,354
p2715,Male,Stressed,244.7
p2708,Male,Stressed,170.3
p2713,Male,Stressed,197.9
p2701,Male,Stressed,80.7
p2712,Male,Stressed,242.8
p2705,Male,Stressed,72.3
p2703,Male,Stressed,62.5
p2709,Male,Stressed,176.9
p2706,Male,Stressed,126.2
p2707,Male,Stressed,336
p2720,D. Female,Control,
p2724,D. Female,Control,117.5
p2725,D. Female,Control,
p2719,D. Female,Control,113.1
p2726,D. Female,Control,233
p2722,D. Female,Control,275.9
s0981,D. Female,Control,
s0978,D. Female,Control,266.6
s0979,D. Female,Control,
s0965,D. Female,Control,371.7
s0959,D. Female,Control,154.4
s0977,D. Female,Control,428.5
1755n,D. Female,Stressed,
e3075,D. Female,Stressed,
e3101,D. Female,Stressed,154.7
1751n,D. Female,Stressed,165
1774n,D. Female,Stressed,182.7
c176,D. Female,Stressed,110.9
1752n,D. Female,Stressed,93.4
s0963,D. Female,Stressed,105
s0966,D. Female,Stressed,
s0960,D. Female,Stressed,239.5
s0954,D. Female,Stressed,
s0970,D. Female,Stressed,66.3
s0982,D. Female,Stressed,154.8
s0983,D. Female,Stressed,161.7
