"","subslice","subject","slice","sex","date","pnd","group","RMP.start","RMP.pre","RMP.ttx","RMP.xe","cm.start","cm.pre","cm.ttx","cm.xe","rm.start","rm.pre","rm.ttx","rm.xe","ra.start","ra.pre","ra.ttx","ra.xe","tau.start","tau.pre","tau.ttx","tau.xe","hold.start","hold.pre","hold.ttx","hold.xe","inp.start.10","inp.start.n10","inp.pre.10","inp.pre.n10","inp.ttx.10","inp.ttx.n10","inp.xe.10","inp.xe.n10","epsc.events","epsc.peak","epsc.amp","epsc.auc.pAms","epsc.decayfit.b0","epsc.decayfit.b1","epsc.decayfit.tau","epsc.decayfit.r2","epsc.flag","mc.flag","max_MC_pA"
"1","c0799A","c0799","A","Female","10/29/25",NA,"ctrl",-77.3,-70,-68.4,-65,13.7,15.2,14.6,9.78,427.8,351.7,333.7,618.2,100.7,130.2,148.7,162,1100,1400,1500,1300,0,-17.7,-17.7,-11,46.3867,15.8691,34.79,8.54492,42.1143,1.83105,25.6348,0,96,15.82463499,-12.83009783,-118.641056,26.39522203,-10.12024352,6.283570403,0.9955857735,"","",21.2097167975
"2","c0799B","c0799","B","Female","10/29/25",NA,"ctrl",-78.1,-76.8,-41.1,-48.8,18.58,20.28,29.8,31.6,379.3,280.6,208,222.3,102.5,100.4,64.9,60.2,1500,1500,1500,1500,-6.7,-7.9,-86.1,-116.6,18.3105,21.3623,13.4277,18.3105,-14.0381,-39.0625,-23.1934,-50.0488,6,10.98632749,-13.77359905,-139.4398836,24.48941478,-13.27686141,8.891579345,0.9724500041,"","",18.3105468755
"3","c0798A","c0798","A","Female","11/1/25",NA,"expt",-77.7,-77.7,-76.5,-76.3,71.9,74.68,63.8,54.1,94.6,105.2,70.4,88.7,26.8,24.8,35.3,40.3,1500,1500,1500,1500,-33.6,-4.3,-36,-26.9,70.8008,67.1387,91.5527,53.1006,203.247,54.3213,195.313,50.6592,767,69.82437603,-17.6777498,-123.1418155,88.01839158,-19.91953929,5.957805381,0.9952904592,"","",37.07885745
"4","c0798B","c0798","B","Female","11/1/25",NA,"expt",-94.5,-73,-72.3,-70.1,24.4,19.36,19.06,19.3,84.8,434.2,398.4,515,62.3,94.3,98.1,91.5,1400,1500,1500,1500,6.1,-6.7,-11,-11,17.0898,14.0381,40.8936,10.376,47.6074,6.71387,31.1279,5.49316,90,-2.068413477,-21.19276139,-115.5937972,18.79113942,-19.24437107,5.201888493,0.9870399236,"","",14.3432617375
"5","c0812A","c0812","A","Male","11/19/25",NA,"ctrl",-52.4,-52.1,-57.8,-52.7,42.2,47.2,44.27,36.67,227.2,106.5,74.1,84.7,41.4,45.2,62.4,79.2,1500,1500,1500,1500,-58,-133.7,-122.7,-132.4,23.8037,9.15527,4.27246,-87.8906,62.2559,-66.5283,23.8037,-86.6699,415,20.46810188,-18.72882038,-104.5268121,38.86552903,-19.59192822,4.093125607,0.9981740149,"","",18.1579589725
"6","c0818A","c0818","A","Female","1/8/26",NA,"ctrl",-77.8,-77.7,-78.3,-76.8,11.23,52.7,52.55,49.83,86.8,56.7,60.6,58.9,4.7,57.1,53.9,61.5,50,1500,1500,1500,-14.6,-7.9,-10.4,-25.6,155.64,92.7734,131.226,82.3975,139.771,67.749,134.277,58.5938,699,123.3626108,-14.62835963,-120.1438985,139.015256,-17.0471001,7.442555392,0.9951595699,"","",12.969970675
"7","c0818B","c0818","B","Female","1/8/26",NA,"ctrl",-81.6,-74.1,NA,NA,35.15,36.8,NA,NA,215.4,233.1,NA,NA,53.2,49.3,NA,NA,1500,1500,NA,NA,3.1,-15.3,NA,NA,50.0488,32.3486,17.0898,7.93457,NA,NA,NA,NA,93,16.64356442,-11.47854634,-86.85203403,30.36458285,-14.23934385,9.469965006,0.996417224,"flag","",NA
"8","c0818C","c0818","C","Female","1/8/26",NA,"ctrl",-76,-77.5,-77.1,-76,57.51,50.03,47.73,45.84,69.8,71.6,74.8,77.9,41.6,51.6,54.2,56.4,1500,1500,1500,1500,-39.1,-18.3,-19.5,-28.7,98.877,61.6455,73.2422,48.8281,123.291,50.0488,103.149,32.3486,248,76.53266864,-14.65532404,-136.8448453,94.32387752,-19.10770636,11.08527104,0.9946583233,"","",13.122558605
"9","c0827A","c0827","A","Male","1/9/26",NA,"expt",-77.3,-71.4,-71.5,-72,36.49,36.56,34.91,33.07,249.3,273,270.2,253.9,48.6,48.3,51.1,55.2,1500,1500,1500,1500,-9.2,-18.9,-17.7,-17.1,17.0898,25.0244,4.27246,9.76563,23.1934,9.15527,28.6865,7.93457,189,12.48798604,-12.3039116,-77.53563335,25.11524254,-13.59457713,5.340856235,0.9967761964,"","",11.4440917975
"10","c0827B","c0827","B","Male","1/9/26",NA,"expt",-81.7,-77.3,-77.1,-75,51.43,45.42,39.12,33.93,214.5,201.4,153.7,146.8,33.8,39.5,51.1,63.3,1500,1500,1500,1500,10.4,-10.4,-14,-20.1,39.6729,44.5557,21.3623,21.9727,48.2178,17.0898,45.166,10.9863,194,16.75005952,-17.02251585,-134.1990035,34.36617913,-18.50177321,6.651098747,0.997574621,"","",14.1906738325
